date,value,president,party
6/1/2019,3.7,Donald Trump,Republican
7/1/2019,3.7,Donald Trump,Republican
8/1/2019,3.7,Donald Trump,Republican
9/1/2019,3.5,Donald Trump,Republican
10/1/2019,3.6,Donald Trump,Republican
11/1/2019,3.5,Donald Trump,Republican
12/1/2019,3.5,Donald Trump,Republican
1/1/2020,3.6,Donald Trump,Republican
2/1/2020,3.5,Donald Trump,Republican
3/1/2020,4.4,Donald Trump,Republican
